,Temperature,Pressure,Fraction_B,Liq_B,Vap_B,Train_Liq_B,Train_Vap_B
3961,389.7959183673469,153333.33333333334,0.5444444444444444,0.3493905624669545,0.544444444892769,0.35080437369652995,0.5428207130964178
3048,380.6122448979592,148888.88888888888,0.8555555555555556,0.7193364816434693,0.8555555557563986,0.7266848878341696,0.8572830530108595
2567,375.5102040816327,153333.33333333334,0.8111111111111111,0.6704865599819133,0.8234692442555243,0.6795376072021311,0.8252305074212409
2137,371.4285714285714,146666.66666666666,0.8111111111111111,0.7647888242961682,0.883123954438652,0.7608657933317737,0.8806352352374739
380,353.0612244897959,157777.77777777778,0.5,0.4999999715021407,0.6922892055578899,0.49549168920124986,0.6940385352203919
1369,363.265306122449,153333.33333333334,0.9,0.8999998351069878,0.9544920202747346,0.9027619627348442,0.9538472703620395
4126,391.83673469387753,144444.44444444444,0.7666666666666666,0.5885993666951908,0.7666666667689574,0.5930135065320212,0.7692738173067897
1232,362.2448979591837,146666.66666666666,0.5888888888888889,0.5888888256565387,0.7664945324131278,0.5874384449116683,0.767914986485358
4151,391.83673469387753,151111.11111111112,0.5444444444444444,0.3489325820969311,0.5444444447308461,0.35263452241796933,0.5437825514766764
4105,391.83673469387753,140000.0,0.7222222222222222,0.5311457926457629,0.7222222223330524,0.5330860294586199,0.7242426716356141
3132,381.6326530612245,146666.66666666666,0.5888888888888889,0.4072515031453105,0.607522905399342,0.40355770164217974,0.6045727225458878
4342,393.8775510204082,148888.88888888888,0.5888888888888889,0.3896107107412365,0.5888888890663709,0.3925104819416913,0.5894510847658854
3809,388.7755102040816,140000.0,0.9,0.7933539045334255,0.900000000072071,0.7970621621010492,0.9023573520980777
3214,382.6530612244898,142222.22222222222,0.6777777777777778,0.4799654698929112,0.6777777781860063,0.47971660293927787,0.6759362874682842
213,352.0408163265306,142222.22222222222,0.6333333333333333,0.6333332915881658,0.7996245580848048,0.6295584775771282,0.8013602943379352
1534,365.3061224489796,146666.66666666666,0.6777777777777778,0.6777776657967736,0.8292305725705431,0.6756831421538035,0.8300899183984627
1378,363.265306122449,155555.55555555556,0.8555555555555556,0.8555554264357308,0.9321350917202408,0.8569263098491856,0.9332042330135886
817,358.16326530612247,142222.22222222222,0.8111111111111111,0.8111110177516657,0.909554003854006,0.8119974426072112,0.9116976933690161
468,354.0816326530612,153333.33333333334,0.8555555555555556,0.8555554934143825,0.9322661517674252,0.8561006830901767,0.9348070393078689
4135,391.83673469387753,146666.66666666666,0.7222222222222222,0.5327596551055475,0.7222222223458062,0.5346743239983042,0.7242658893126299
3133,381.6326530612245,146666.66666666666,0.6333333333333333,0.4333204419740591,0.6333333355896988,0.43492499332429774,0.6348155031028487
1323,363.265306122449,144444.44444444444,0.6333333333333333,0.6333332510956396,0.7992690096898721,0.6314837525532262,0.8002371120888337
2711,377.55102040816325,142222.22222222222,0.5444444444444444,0.5007446353066439,0.6960797259733753,0.5105590601129351,0.6988834351494788
3284,382.6530612244898,157777.77777777778,0.6777777777777778,0.4835734371480157,0.6777777804275216,0.4867241488546157,0.680647902742165
4545,395.9183673469388,148888.88888888888,0.7222222222222222,0.533282227220267,0.722222222320924,0.5370611746998707,0.7241171171649284
1641,366.3265306122449,148888.88888888888,0.5444444444444444,0.5444443715253645,0.7313413911629965,0.5416505667801568,0.732368668727018
3475,384.6938775510204,155555.55555555556,0.7222222222222222,0.5348068962010721,0.7222222225827318,0.5358386771149746,0.7215758122229504
1048,360.2040816326531,148888.88888888888,0.8555555555555556,0.8555554456441782,0.9325328753771096,0.8569966404950103,0.9344499047830218
3395,383.6734693877551,160000.0,0.7222222222222222,0.5357894727431144,0.7222222228503927,0.5359032056588744,0.7217668427126974
4200,392.8571428571429,140000.0,0.5,0.3082484780426492,0.5000000002215761,0.31106727663650485,0.49938468422018367
2017,370.4081632653061,142222.22222222222,0.8111111111111111,0.7608490277257403,0.8812897557544095,0.7582500505910501,0.8792076193355371
1538,365.3061224489796,146666.66666666666,0.8555555555555556,0.8555552855587354,0.932668603927964,0.8610684110142133,0.9351151617505106
4956,400.0,151111.11111111112,0.7666666666666666,0.5901298717964552,0.7666666667394539,0.5985684812402391,0.7671482606747423
3437,384.6938775510204,146666.66666666666,0.8111111111111111,0.6508561216870097,0.8111111112648981,0.6570754662050047,0.8115693184847965
1494,364.2857142857143,160000.0,0.6777777777777778,0.6777777044429192,0.8274519328539878,0.6762403555654073,0.8283189738099979
4676,396.9387755102041,155555.55555555556,0.7666666666666666,0.5911145908491481,0.7666666667553196,0.5973321573699051,0.7689570153587215
1860,368.36734693877554,153333.33333333334,0.5,0.4999999319976089,0.6931588117408429,0.49328443912583136,0.6936352636995119
2669,376.530612244898,153333.33333333334,0.9,0.7954629518275783,0.9000000003347183,0.7922196467109534,0.9027446207808275
4068,390.8163265306122,153333.33333333334,0.8555555555555556,0.7201764360718572,0.8555555556457943,0.7283191406644806,0.8580472292167562
1519,365.3061224489796,142222.22222222222,0.9,0.8999993853931603,0.9549588600172002,0.9085620894760633,0.9620775028889251
1612,366.3265306122449,142222.22222222222,0.5888888888888889,0.588888786946904,0.7672805131714779,0.586987450527096,0.7682821295649
3323,383.6734693877551,144444.44444444444,0.6333333333333333,0.4328013275603723,0.6333333338859759,0.43215166796427473,0.6309762052477883
4537,395.9183673469388,146666.66666666666,0.8111111111111111,0.6508561215702048,0.8111111111846951,0.6591316676391272,0.8136529693797064
3700,387.7551020408163,140000.0,0.5,0.3082484782512046,0.5000000004718522,0.30805316404660044,0.4996150165954401
3429,384.6938775510204,144444.44444444444,0.9,0.7940789070466998,0.9000000000977008,0.7980278858135263,0.8988203993898594
333,353.0612244897959,146666.66666666666,0.6333333333333333,0.6333332919531228,0.7989181621287353,0.6296733203969904,0.8006337654868261
2678,376.530612244898,155555.55555555556,0.8555555555555556,0.7205873493623842,0.8555555563834341,0.7222572315494848,0.8558734470826828
4839,398.9795918367347,146666.66666666666,0.9,0.7944329064904708,0.9000000000502133,0.796215302117975,0.9006512325657672
4170,391.83673469387753,155555.55555555556,0.5,0.3113436082752983,0.5000000004473641,0.310792408671153,0.4989616532627311
2747,377.55102040816325,148888.88888888888,0.8111111111111111,0.6513369426543218,0.811111111716552,0.655338927079362,0.8128070430820736
1661,366.3265306122449,153333.33333333334,0.5444444444444444,0.5444443780712787,0.7305140101741033,0.5419636333861446,0.7317346851025192
2845,378.57142857142856,148888.88888888888,0.7222222222222222,0.533282234418081,0.7222222282533901,0.5416919221874936,0.7274201572019019
2671,376.530612244898,155555.55555555556,0.5444444444444444,0.5444441681807889,0.7301079607764955,0.5463257911706809,0.7331008663801089
251,352.0408163265306,151111.11111111112,0.5444444444444444,0.5444444126525863,0.7309250777587672,0.5403254478241339,0.7319227591357302
2206,372.4489795918368,140000.0,0.7666666666666666,0.6598233733747854,0.8182199563932402,0.6572893856467934,0.8122149651947123
779,357.1428571428572,155555.55555555556,0.9,0.8999999189568838,0.9544019455582216,0.8995423781403001,0.9568399095861968
4210,392.8571428571429,142222.22222222222,0.5,0.3087086684792989,0.5000000002352895,0.31152650683140815,0.49937059358559277
4158,391.83673469387753,151111.11111111112,0.8555555555555556,0.7197595404745527,0.8555555556381556,0.7280456835445815,0.8588203019157152
2165,371.4285714285714,153333.33333333334,0.7222222222222222,0.7222218675591066,0.8568272539514351,0.721564224263044,0.8600021250733545
2523,375.5102040816327,144444.44444444444,0.6333333333333333,0.590231773074871,0.7678962574377681,0.5939212268608178,0.7696283751034633
3156,381.6326530612245,151111.11111111112,0.7666666666666666,0.5901298721947956,0.7666666670401786,0.5936199760854977,0.767494355953625
324,353.0612244897959,144444.44444444444,0.6777777777777778,0.6777777312088248,0.8295402263089175,0.6748084179730354,0.8317719794266691
1407,364.2857142857143,140000.0,0.8111111111111111,0.8111108717057585,0.90973937352233,0.8130739882300098,0.9116227512643489
595,355.1020408163265,160000.0,0.7222222222222222,0.7222221761593156,0.8560735528122978,0.7200541963748568,0.8580215161819302
498,354.0816326530612,160000.0,0.8555555555555556,0.8555554991167282,0.931877569093801,0.8551837746303683,0.933777595717374
4702,397.9591836734694,140000.0,0.5888888888888889,0.3875927514230341,0.5888888890025856,0.390068766987577,0.5881419983599295
310,353.0612244897959,142222.22222222222,0.5,0.4999999665741722,0.6954344569039153,0.4966574531633732,0.6963574278358151
1148,361.2244897959184,148888.88888888888,0.8555555555555556,0.8555554324254674,0.9325328685920208,0.8570927543414858,0.933994637599946
2846,378.57142857142856,148888.88888888888,0.7666666666666666,0.5896270395249973,0.7666666675316329,0.5927394321672366,0.7675017877801464
4815,398.9795918367347,142222.22222222222,0.7222222222222222,0.5316916743980759,0.7222222223003442,0.5383513752309355,0.7216504559696186
3890,388.7755102040816,160000.0,0.5,0.3121778009377444,0.5000000035145642,0.3088268099684558,0.5063328249591628
